,content,sentiment,negative,neutral,positive,highlight
0,2000년생 이상 급식은 장범준90년대생이하는 성시경 나올듯.,neutral,0.00025547968,0.99944407,0.000300498,이상 급식은 장범준90년대생이하는 성시경 나올듯
1,비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,neutral,0.06712711,0.9320371,0.0008357702,비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2,00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ.,neutral,0.00028797664,0.9995009,0.00021110715,00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ
3,비정상인 성시경 전성기를 모르니까 풍문으로 들은 애들이 더 고평가엠팍은 나이대가 높아서 직접 봤기 때문에 더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김.,neutral,0.0013640955,0.9837172,0.014918712,더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김
4,델카이저 근데 장범준이 20년대 goat도 아니잖아 ;,neutral,0.012919335,0.983745,0.003335657,장범준이 20년대 goat도 아니잖아 
5,"가창력은 성시경이 우위고,히트곡은 장범준이 우위고..근데 또 20년간 술담배 다 하면서 길게 활동하는거보면 성시경이 더 나은 가수같지만,그 많은 임팩트있는 곡을 썼다는걸 생각하면 또 장범준...원베일리 상업성 고려하면 장범준이 맞겠네..",positive,0.0009200021,0.10734377,0.8917362,원베일리 상업성 고려하면 장범준이 맞겠네
6,원베일리 장범준은 20년대가 아니라 10년대지어떻게 장범준 커리어 얘기하는데 20년대를 끌고옴....원베일리 ? 장범준은 10년대에 껴야지 ㅋㅋ.,neutral,0.0025697052,0.9947614,0.0026688378,원베일리 
7,벚꽃엔딩은 10년대 대한민국에서 가장 히트곡이라고 할 수있는데.래드키 나이대 좀 있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지,positive,0.00055556936,0.017598927,0.9818455,있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지
8,솔직히 그 시절에 날고긴다하는 발라더들 시경이 형말고도 수두룩 빽빽이라ㅋㅋㅋㅋㅋ,neutral,0.026661312,0.971972,0.0013666765,발라더들 시경이 형말고도 수두룩 빽빽이라
9,그리고 오히려 장범준이 약간 독보적인 부분이 있어서 나름 고평가 가능함.,positive,0.00062364625,0.002317603,0.99705875,부분이 있어서 나름 고평가 가능함
10,래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯.,negative,0.993486,0.0058837757,0.000630319,래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯
11, 89년생 내 기준으로도 장범준이 앞선다고 봄.래드키 진짜 본문 짤방에서 언급했듯이 이승철 vs 임창정이랑 비슷함..,neutral,0.0011042737,0.99720407,0.0016917113,본문 짤방에서 언급했듯이 이승철 vs 임창정이랑 비슷함
12," 이승철, 성시경 쪽이 뭔가 아티스트, 대가 이미지가 있는데 정작 작사 작곡은 임창정, 장범준이 더 많고 차트 순위 같은 기록도 더 좋음.. 이승철 전성기 때 경험한 사람은 냉정하게 평가하는데 그냥 풍문으로 들은 사람이 이승철을 엄청난 대가인 줄 아는 것도 비슷...래드키 성시경 이전에 발라드 가수 계보가 있음",positive,0.0011514612,0.10194158,0.8969069,차트 순위 같은 기록도 더 좋음
13,성시경은 거기에 끼는 사람인거고장범준은 포크와 싱어송라이터 부문에서 독보적임,positive,0.0004690171,0.0059297155,0.99360126,성시경은 거기에 끼는 사람인거고장범준은 포크와 싱어송라이터 부문에서 독보적임
14,가창력 자체는 성시경이 앞서지만벚꽃엔딩과 여수밤바다 두 곡만으로도 엥간한 가수들 이길 수 있음.,positive,0.0006617987,0.0010690653,0.9982691,엥간한 가수들 이길 수 있음
15,Kaka#22.,neutral,0.00024982076,0.99960583,0.00014447008,Kaka#22
16, 유투브랑 가수위상이랑 도대체 뭔 상관관계가 있다는거그리고 앨범 많이 내면 우위인가?,neutral,0.10071641,0.897555,0.0017286021,앨범 많이 내면 우위인가
17,성공한 음원 노래가 장범준이 우위인데.Kaka,neutral,0.0004251604,0.9924326,0.0071421755,성공한 음원 노래가 장범준이 우위인데
18,#22.,neutral,0.00034146316,0.9994809,0.00017765647,#22
19, 콘서트는 단순 팬덤크기 비교자너관객동원력 얘기하는데 음원성적이 더 대중성을 뜻하는 지표 아닐까싶음,neutral,0.0007981107,0.99628323,0.0029186548,콘서트는 단순 팬덤크기 비교자너관객동원력 얘기하는데 음원성적이 더 대중성을 뜻하는 지표 아닐까
20,단순히 노래로만 돈번걸로치면 난 장범준이 한참더 벌었을거 같은데.,neutral,0.00092262996,0.9885833,0.010494085,단순히 노래로만 돈번걸로치면 난 장범준이 한참더 벌었을거 같은데
21,Kaka#22.,neutral,0.00024982076,0.99960583,0.00014447008,Kaka#22
22, 잉 장범준도 버스커 합치면 정규만 5개임 유투브로 따져도 장범준도 구독자가 100만 가까이 됨,neutral,0.0011402289,0.95648915,0.042370636,장범준도 구독자가 100만 가까이 됨
23, 심지어 유툽에서는 음악관련 콘텐츠만 함.,neutral,0.00037073504,0.99907684,0.00055232615,심지어 
24,Kaka#22.,neutral,0.00024982076,0.99960583,0.00014447008,Kaka#22
25, 음색이 독보적일뿐 그정도 음악성 가진 발라더는 널리고 널렸음.,positive,0.0006933984,0.0018868261,0.99741983,발라더는 널리고 널렸음
26, 반면 포크에서 장범준 정도 음악성을 지닌 사람은 오버에선 없음.,neutral,0.0039492273,0.99390244,0.0021483004,사람은 오버에선 없음
27," 애초에 비교불가, 장범준이 넘사임.",negative,0.9918738,0.007511214,0.00061491993,장범준이 넘사임
28,[Felix] 보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준.,positive,0.0004374542,0.0026348124,0.9969278,보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준
29,솔직히 아까 성시경이 많아서 놀랬음,neutral,0.0009471859,0.99680555,0.0022472967,솔직히 아까 성시경이 많아서 
30,장범준이 그렇게 저평가될 가수는 아닌데 ㅋㅋㅋ.,neutral,0.0015831344,0.99124897,0.0071677784,장범준이 그렇게 저평가될 가수는 아닌데 
31,라울과알레 과장 좀 보태서 90년대 후반생인 나에겐 장범준이 우리세대의 김광석임.,neutral,0.0005951107,0.99676275,0.0026421268,라울과알레 과장 좀 보태서 90년대 후반생인 나에겐 장범준이 우리세대의 김광석임
32,원웨이브 과장보태서가아니라 걍 우리세대 김광석이 장범준 맞음,neutral,0.0011991973,0.993435,0.0053657615,우리세대 김광석이 장범준 맞음
33, 지금 20 30대 남자들 장범준 노래들으면서 감정이입 안된사람 단 한명도 없다고 자부함.,positive,0.0007907876,0.02128705,0.9779221,사람 단 한명도 없다고 자부함
34,라울과알레 성시경 많은건 둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음.,neutral,0.0017069208,0.99710625,0.0011868214,둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음
35,라울과알레 노래실력을 대결하는거?,neutral,0.0018396395,0.9975993,0.0005610321,라울과알레 노래실력을 대결하는거
36, 아니면 히트곡 누가 많냐의 대결?,neutral,0.00341187,0.9957495,0.0008385998,히트곡 누가 많냐의 대결
37, 기준이 뭐냐?,neutral,0.0089761615,0.9908539,0.00016981679,기준이 뭐냐
38, 성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네.,negative,0.9990484,0.00065260637,0.0002989804,성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네
39,[전문가] 노래실력도 히트곡 숫자도 성시경이 위인데제일 히트한 곡이 장범준이 위인거지.9.3.0521 히트곡수는 장범준이 훨씬더많음.,neutral,0.00087411574,0.965207,0.033918887,제일 히트한 곡이 장범준이 위인거지
40,의외로 가요계 황금기시절에 성시경 차트 1등 별로못해봄.,negative,0.992239,0.002647244,0.0051137544,가요계 황금기시절에 성시경 차트 1등 별로못해봄
41,라울과알레 장범준 저평가가 아니라 성시경을 이긴다 하니까 어이가 없지.,negative,0.9986358,0.0007528481,0.00061130465,성시경을 이긴다 하니까 어이가 없지
42,라울과알레 장범준이 가수 goat는 아닌데 벚꽃엔딩 버스커버스커 1집은 한국 대중음반계 goat 반열이지.,neutral,0.0007700943,0.99654144,0.002688461,라울과알레 장범준이 가수 goat는 아닌데 벚꽃엔딩 버스커버스커 1집은 한국 대중음반계 goat 반열이지
43,델카이저 멜론하트로 따지기엔 활발하게 활동한년도가다름아예 비교삼을만한 지표자체가 안되지수많은 옛날명곡들 << 벚꽃엔딩은 아니니까.,neutral,0.0072767893,0.9780904,0.014632725,수많은 옛날명곡들 << 벚꽃엔딩은 아니니까
44,에펨자료받으러 거리에서도 제법 떴지만 벚꽃엔딩에는 못 비빔.,neutral,0.015273526,0.9819509,0.0027755974,벚꽃엔딩에는 못 비빔
45,성시경 마지막 앨범 히트곡이 언제냐?,neutral,0.0008653073,0.9975393,0.0015954021,성시경 마지막 앨범 히트곡이 언제냐
46, 작년에 앨범 새로 냈다가 그냥 소리소문없이 묻혔고 롱런한다는것도 예전 노래빨에 연예인으로 롱런하는거지,positive,0.0018597501,0.0018970163,0.99624324,예전 노래빨에 연예인으로 롱런하는거지
47, 가수로 롱런하는게 아닌데장범준 당장 앨범낸다면 일단 무조건 실시간 최상위는 다 들어갈걸?,neutral,0.0080127735,0.98062825,0.011358883,실시간 최상위는 다 들어갈걸
48,가수로 보면 고점으로 상대도 안되고 롱런으로도 엄청 차이나는것도 아님 장범준은 현재 진행형이니까.,neutral,0.0019519542,0.99593014,0.0021179575,가수로 보면 고점으로 상대도 안되고 
49,티아고메시 아니 글을 못읽냐,neutral,0.11826775,0.85998935,0.021742905,티아고메시 아니 
50, 성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나,neutral,0.0013274436,0.96507716,0.033595424,성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나
51, 내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지.,neutral,0.0048208786,0.93229246,0.06288672,내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지
52,무협초보 히트곡으로만 따지면 장범준 >>> 임재범인데 가수들 100 명 모아두고 임재범과 장범준 중에 누가 더 뛰어난 가수냐고 물어보면 100 명 중에 90 명은 임재범 뽑는다에 손모가지 검 ㅋㅋㅋㅋㅋㅋ.,neutral,0.0053130346,0.9889932,0.0056936815,임재범 뽑는다에 손모가지 검 
53,무협초보 ㄹㅇ,neutral,0.0073987744,0.99201804,0.00058312307,무협초보 
54," 당장 장범준은 20년도에 싱글로 낸 '잠이 오질 않네요'만 해도 1년도 채 안 되어서 가온차트 기준 1억 스트리밍 달성했는데.무협초보 2014년 08월 19일 '장범준 1집'이 발표되었고, 장범준은 본인이 처음 프로듀싱한 앨범을 대중에게 선보이게 된다.",neutral,0.0013671031,0.9116365,0.08699636,장범준은 본인이 처음 프로듀싱한 앨범을 대중에게 선보이게 된다
55, 그러나 버스커 버스커 앨범과는 다른 실험적이고 마이너한 감성이었던 1집은 대중들에게 큰 어필을 하지 못했다.,negative,0.9971873,0.002453093,0.00035957946,대중들에게 큰 어필을 하지 못했다
56,"03월 25일 '장범준 2집'이 발매되었고, 1집보다 나은 성적을 거두게 된다.",positive,0.00069816934,0.000831344,0.9984705,나은 성적을 거두게 된다
57,"2016년 12월 07일, 정규 앨범만 내던 장범준은 처음 싱글 음원을 발매하게 된다.",neutral,0.0001054372,0.9996866,0.00020791565,정규 앨범만 내던 장범준은 처음 싱글 음원을 발매하게 된다
58, 2017년 05월 15일 군 입대를 앞두고 마지막으로 낸 음원이었지만 장범준 스스로 '가장 안 유명한 노래'라고 말할 정도로 상업적으로 가장 부진하였다.,negative,0.9986802,0.00074030116,0.00057948934,말할 정도로 상업적으로 가장 부진하였다
59,이런 애들은 장범준 앨범도 꽤 망한 게 많은데 모르나보네ㅋㅋㅋ,negative,0.99887663,0.000645977,0.00047733923,이런 애들은 장범준 앨범도 꽤 망한 게 많은데 
60,가수는 무엇보다 노래가 좋아야뜨는거고 장범준도 다음 앨범 내봐야 아는거임.,neutral,0.0009751257,0.9953921,0.0036328207,가수는 무엇보다 노래가 좋아야뜨는거고 장범준도 다음 앨범 내봐야 아는거임
61,무협초보 장범준도 성시경처럼 오래되었을때도 앨범에 1등 못할텐데.,negative,0.94834185,0.04351429,0.008143877,앨범에 1등 못할텐데
62,나한테 장범준은 따라부르기 좋은 노래 많이 내주는 가수.,positive,0.00047314077,0.0011136389,0.9984132,좋은 노래 많이 내주는 가수
63, 슈스케로 대박낸 원히터가수 정도로 생각했는데 평가가 많이 높았네.,positive,0.0010557545,0.0005586944,0.99838555,평가가 많이 높았네
64,허밋 히트곡도 장범준이 딱히 안밀림.,negative,0.98848045,0.0103558125,0.0011637347,허밋 히트곡도 장범준이 딱히 안밀림
65,아티스트로 비교하면 작사작곡을 거의 안하는 성시경보다 장범준이 위라고 생각함.,neutral,0.0009193821,0.9926743,0.0064063845,안하는 성시경보다 장범준이 위라고 생각함
66, 작사작곡을 안하는데 어케 더 위라고 처줄 수 있는지 모르겠음..섹보스지스털섹 공감 ㅋㅋ,negative,0.99714977,0.0022102043,0.00063998497,섹보스지스털섹 공감 
67, 걍 장범준은 진짜 천재같은데.,positive,0.001306177,0.001789821,0.99690396,장범준은 진짜 천재같은데
68,섹보스지스털섹 너의 모든 순간처럼 성시경이 작곡한 노래도 꽤 있음장범준이 위인 거랑 별개로 성시경이 작사 작곡 안 한다는 건 오해임.,negative,0.9865063,0.012703325,0.000790439,있음장범준이 위인 거랑 별개로 성시경이 작사 작곡 안 한다는 건 오해임
69,"가수로서 노래를 더 잘하니 성시경이 더 위라 생각함작사 작곡 능력 따지는 애들은 그럼 가수로서 장범준>이문세라고 할 건가배우한테는 대본 쓰고 감독 본다고 더 좋은 배우라고 안하면서 왜 같은 표현하는 직업인 가수한테는 작사 작곡 능력이 있으면 더 좋은 가수라고 하는 건지 잘 모르겠음아티스트, 창작자로는 장범준이 위지만 가수로는 성시경이 위지.우야노내쥬지 90년대생이고 장범준 뜰 때가 10대후반이었음",neutral,0.0027051491,0.99554574,0.0017490217,창작자로는 장범준이 위지만 가수로는 성시경이 위지
70,장범준의 성공을 목도했음에도 나는 성시경이 더 위라고 생각함베스트셀러는 장범준인데스테디셀러는 성시경.,positive,0.00063939305,0.03277222,0.9665884,장범준의 성공을 목도했음에도 나는 성시경이 더 위라고 생각함베스트셀러는 장범준인데스테디셀러는 성시경
71,2월30일 벚꽃엔딩 여수밤바다 스테디셀러.influxDB,neutral,0.0005213931,0.9988605,0.00061816926,2월30일 벚꽃엔딩 여수밤바다 스테디셀러
72, 난 당연히 임창정같은데?,neutral,0.0007888879,0.9986583,0.0005528013,난 당연히 임창정같은데
73,지금 성시경하고 장범준비교하는게 뭐 가창력을 논하는게아니라 가수로써 실적을 이야기하는거아님?,negative,0.96105874,0.038257264,0.0006839149,성시경하고 장범준비교하는게 뭐 가창력을 논하는게아니라 가수로써 실적을 이야기하는거아님
74, 고점이나 꾸준함모두 임창정이 위지 .,neutral,0.0009861855,0.98234504,0.016668757,고점이나 꾸준함모두 임창정이 위지 
75, 고점은 솔직히 초딩때라모르겟고 꾸준함으로치면 임창정압살인것같은데.,neutral,0.14637323,0.8481761,0.005450706,임창정압살인것같은데
76,성시경은 오히려 최근에 좀 다시 뜬 경향이 있는 거 같은데우리 제법 잘어울려요,positive,0.00070275494,0.000759521,0.9985378,우리 제법 잘어울려요
77,나 거리에서 때가 전성기였던 거 같고 그 이후로 막 언급이 많이 됐던 적은 별로 없던 거 같은데근데 최근에 좀 활동을 많이 해서 그런가 재조명 받고 인기가 다시 올라간 느낌. 근 10여년 간 중에 지금이 성시경이 제일 인기 많고 언급 많이 되는거 같음,positive,0.00044344304,0.0018128133,0.9977437,전성기였던 거 같고 
78,솔직히 가수 비교해서 줄세우는게 뭔 의미인가 싶긴 한데 대중적 영향력은 장범준이 더 위인 느낌이긴 함.,neutral,0.014041572,0.9353544,0.050604068,대중적 영향력은 장범준이 더 위인 느낌이긴 함
79,나는 성시경 스타일이 더 좋음장범준 노래는 뭔가 발랄한 노래밖에 없는거같음.,positive,0.00040799569,0.0027816626,0.9968104,나는 성시경 스타일이 더 좋음장범준 노래는 뭔가 발랄한 노래밖에 없는거같음
80,성시경을 몰라서 장범준을 높게친다는건 솔직히 말도안되는게...,negative,0.99569017,0.0035105378,0.0007993307,솔직히 말도안되는게
81, 성시경은 당대도 평정못했음,negative,0.997938,0.0013821165,0.00067989714,성시경은 당대도 평정못했음
82,글쓴분이 댓글에 쓴것처럼 다 겪은사람들이면 장범준 뽑을듯.,neutral,0.004362595,0.99393636,0.0017011691,다 겪은사람들이면 장범준 뽑을듯
83, 근데 발라드 좋아하고 성시경 좋아하는 사람들은 성시경픽 해도 이상할건 없는 부분이기도 함..,neutral,0.0005746859,0.99001384,0.0094115585,없는 부분이기도 함
84,노하라히로시 10년대 1위곡이 벚꽃엔딩임 이 정도면 평정맞지.,positive,0.0061338358,0.034749746,0.95911646,이 정도면 평정맞지
85,노하라히로시 벚꽃엔딩이면 평정이지.,negative,0.97894555,0.018140007,0.0029144345,노하라히로시 벚꽃엔딩이면 평정이지
86,노하라히로시 버스커 1집은 시대를 평정했다고 볼만 하지 ㅋㅋ,neutral,0.006231708,0.98919094,0.0045773606,노하라히로시 버스커 1집은 시대를 평정했다고 
87, 2012년 앨범인디 지금까지도 회자되고 봄만되면 차트인하는게 벚꽃엔딩 여수밤바다임.,neutral,0.00013548075,0.9989992,0.0008653102,차트인하는게 벚꽃엔딩 여수밤바다임
88, 당장 지금 지나가는 사람들한테 봄 하면 생각나는 노래하면 열에 아홉은 벚꽃엔딩 얘기할걸?,neutral,0.011316533,0.9858386,0.0028448293,생각나는 노래하면 열에 아홉은 벚꽃엔딩 얘기할걸
89, 딴건 몰라도 버스커 1집은 2010년대 평정한거 맞음.,neutral,0.00080656464,0.98359644,0.015596929,평정한거 맞음
90,뭐 제패의 기준이 꾸준히 앨범내서 성공한거라면 그럴수있지만.. 버스커 2집도 대박났고 장범준 1집 제외 앨범 다 성공함.,positive,0.0008179995,0.00067012454,0.99851185,제외 앨범 다 성공함
91, 특히 솔로 이후에 디지털 싱글도 죄다 대박쳤는데 ㅋㅋ,positive,0.00064872584,0.00047167105,0.9988796,특히 솔로 이후에 디지털 싱글도 죄다 대박쳤는데 
92, 회상 흔꽃샴 잠이오질않네요,negative,0.96817905,0.030864045,0.00095692615,회상 흔꽃샴 잠이오질않네요
93, 등등..,neutral,0.000461753,0.99916065,0.0003776356,등등
94,성시경이 장범준 아래라는건 의견갈린다쳐도 장범준이 2010년대 제패못한다는건 전혀 동의못함.,negative,0.9955603,0.0036682638,0.00077138946,동의못함
95,발라드원탑은 다른가수인데 장범준은 걍 장르가 장범준이라 독보적임.,positive,0.0005563989,0.00083578716,0.9986078,장범준은 걍 장르가 장범준이라 독보적임
96,장범준은 작곡도 하잖아.,neutral,0.00055503356,0.9984914,0.0009534911,장범준은 작곡도 하잖아
97,그냥 성시경 음색이 개사기 아닌가,positive,0.0043275557,0.016265236,0.9794072,성시경 음색이 개사기 아닌가
98, 가수로서 좀 체급차이가 있다고 생각했는데 장범준이 그정도야?.,neutral,0.0035541153,0.9954796,0.00096628873,가수로서 좀 체급차이가 있다고 
99,그럼 조용필 나훈아도 최근 히트곡 없으니 장범준 승이라고 하지 왜ㅋㅋ.,neutral,0.0031118244,0.9935783,0.0033097519,조용필 나훈아도 최근 히트곡 없으니 장범준 승이라고 하지 왜
100,둘 다 좋긴한데 니들 장범준 노래 지금까지 듣는거 있음??.,positive,0.0038880243,0.01057374,0.98553824,둘 다 좋긴한데 
101,성게전복죽 장범준 노래들 스밍 동접이 성시경 압살함;대표곡 5개만 들어가봐도.,neutral,0.001018581,0.996095,0.0028863656,성게전복죽 장범준 노래들 스밍 동접이 성시경 압살함
102,그냥 가수 급 따지기는 콘서트 규모로 보는게 제일 편함장범준 최근 - 핸드볼경기장(5천석)성시경 최근 - 장충체육관(4000석)장범준이 조금 더 급이 높긴한데 성시경은 콘서트를 자주 하고 고점이 높아서 솔직히 비슷한 급이라 생각함.,neutral,0.00083812524,0.99654984,0.0026119752,가수 급 따지기는 콘서트 규모로 보는게 제일 편함장범준 최근 
103,노하라히로시 장범준이 이름값 밀리는건 성시경은 예능같은 티비 출연이 많고 장범준은 그런거는 아예 신경도 안쓰다시피 하는 것도 클듯.,neutral,0.0049959645,0.98668075,0.008323309,노하라히로시 장범준이 이름값 밀리는건 성시경은 예능같은 티비 출연이 많고 
104,술은 장범준이 분신술쓰고와도 성시경한텐 안된다.,negative,0.99513763,0.004394001,0.00046829935,성시경한텐 안된다
105, 장르바꿔서 한판 뜨던가.,neutral,0.0036308758,0.9960074,0.0003617605,장르바꿔서 한판 뜨던가
106,장범준도 좋긴한데 개취로 좀 자가복제 느낌임 ㅋ,negative,0.99608934,0.0028295803,0.0010811441,장범준도 좋긴한데 
107,성시경 노래 훨씬 좋아함.,positive,0.0005757168,0.0012065694,0.99821764,성시경 노래 훨씬 좋아함
108,스넬 장범준은 곡의 95%가 자작곡이고 성시경은 그 반대니까 당연함.,neutral,0.00077463425,0.9970763,0.0021491654,성시경은 그 반대니까 당연함
109,"현재 위상은 종합적으로 봤을때 성시경의 근소 우위지만 3-4년만 더 지나도 뒤집힌다고 봄장범준은 음원, 앨범 냇다하면 바로 탑10급이니성시경도 뭐 ost 같은건 곡 잘받으면 차트인 할수있겠지만 정규앨범에서 이제는 매니아밖에 남지않았다고 봄음악성으로 봐도 장범준이 꿀릴건 없지",positive,0.0010643777,0.031894702,0.9670409,장범준이 꿀릴건 없지
110,스스로 작사작곡하는 싱어송라이터랑 곡 받아서 부르는 보컬이랑은..,neutral,0.0004424094,0.9986841,0.0008734705,부르는 보컬이랑은
111,물론 성시경은 그 보컬중에서도 독보적인 음색을 지닌 유니크한 발라더니까 위상이 버텨주는거지.,positive,0.0005051781,0.002367361,0.9971275,위상이 버텨주는거지
112,걍 취향이지 우위가어딧냐 시발 ㅋㅋ,negative,0.9918494,0.007695303,0.0004553222,취향이지 우위가어딧냐 시발 
113,난 장범준.,neutral,0.00052115385,0.99878114,0.00069773546,난 장범준
114,뭔 헛소리임.,negative,0.9991635,0.0006399736,0.0001964892,뭔 헛소리임
115, 이적 vs 성시경 같은 소리하고 있네.,neutral,0.04304198,0.9549645,0.0019935137,성시경 같은 소리하고 있네
116, 장범준이 싱어송라이터로서 뛰어날진 몰라도 가수로서는 성시경이 몇 티어 위지..가수 평가요소에 가창력은 왜 빼는 지 모르겠음ㅋㅋ,neutral,0.004097547,0.9866122,0.009290265,장범준이 싱어송라이터로서 뛰어날진 몰라도 가수로서는 성시경이 몇 티어 위지
117,작사작곡만 볼거면 작곡가해야지,neutral,0.008907167,0.98769253,0.003400282,작곡가해야지
118,애초에 장범준은 다른사람한테 곡을 못 받음자기한테 맞춰서 노래를 기가맥히게 만드는거지.,negative,0.9924776,0.0061634053,0.0013590155,노래를 기가맥히게 만드는거지
119,성시경이 가창력이나 음색은 대단하지만 대중가수로서 진짜 이미지에 비해 시대를 지배하지는 못했음.,negative,0.95303065,0.038099345,0.008869981,시대를 지배하지는 못했음
120, 가창력 측면에서면 모를까 대중가수로서의 커리어를 물으신다면 지금은 몰라도 조금 더 시간이 지난다면 장범준이 성시경보다 더 음악적 결과물을 유의미하게 만들 것 같음..노하라히로시 장범준: 뭐야 나 왜죽여요.,negative,0.94864804,0.032799065,0.018552985,나 왜죽여요
121,내기준 범준이.,neutral,0.0005807117,0.99913555,0.00028376124,내기준 범준이
122,"성시경은 가창력 우위, 장범준은 직접 작사 작곡까지 가능..",positive,0.0004970929,0.003663951,0.995839,성시경은 가창력 우위
123,"당연히 성시경이라 생각했는데 댓글들 보고 생각해보니 장범준, 직접 노래 들으면야 성시경이 더 잘하겠지만 장범준은 진짜 신드롬이였어서......",positive,0.0007672458,0.0009227874,0.99830997,장범준은 진짜 신드롬이였어서
124,난 무조건 장범준이라 생각했는데 장범준 히트곡이 몇개야.,neutral,0.0007716435,0.9674754,0.031752914,난 무조건 장범준이라 생각했는데 
125,누가 더 우월하다 할 문제인가 ㅎ,negative,0.9142625,0.085050814,0.00068676454,누가 더 우월하다 할 문제인가 
126,난 음색은 성시경이 더 좋지만 곡 스타일은 장범준이 좋다~~~~.,positive,0.00069524045,0.00034579934,0.99895895,곡 스타일은 장범준이 좋다
127,보컬로써 가치는 성시경 압승그 이외에 노래를 직접 만든다는 점부터 뭐 그런건 장범준한테 명함 내미기도 민망하지.,negative,0.9942701,0.0029885673,0.0027413392,보컬로써 가치는 성시경 압승그 이외에 노래를 직접 만든다는 점부터 뭐 그런건 장범준한테 명함 내미기도 민망하지
128,본인 처음 가져본 테이프가 성시경 1집이었음,neutral,0.0007626749,0.99786407,0.0013733768,본인 처음 가져본 테이프가 성시경 1집이었음
129, 성시경은 아스날같은거임,neutral,0.0011623314,0.99793565,0.0009019298,성시경은 아스날같은거임
130, 꾸준히 상위권 장범준은 신드롬이었고.하우HOW 성시경도 작사작곡 많은데.. 근데 벚꽃엔딩이 넘쎄다.,positive,0.00093949965,0.008996423,0.9900641,꾸준히 상위권 장범준은 신드롬이었고
131,하우HOW 장범준 라이브랑 앨범 차이보면 음....지금은 성시경이 더 높을지라도 시간지나면 장범준이 넘어서긴할듯.,neutral,0.000724889,0.9955498,0.0037253625,하우HOW 장범준 라이브랑 앨범 차이보면 음
132,근데 나이때문인가 성시경노래를 몇개모름 거리에서랑 몇개 더..?,neutral,0.0015348282,0.9978217,0.00064351223,나이때문인가 성시경노래를 몇개모름 거리에서랑 몇개 더
133, 장범준노래는 많이알고.,neutral,0.00047611658,0.99774915,0.0017746898,장범준노래는 많이알고
134,"가수로서는 성시경, 뮤지션으로서는 장범준장범준 자가복제가 심하니 어쩌니 해도 벛꽃엔딩 임팩트가 너무 강함벛꽃엔딩은 단순히 히트곡이 아니라, 그냥 그 계절 그 감성 자체라.",negative,0.6815669,0.09849069,0.21994242,벛꽃엔딩 임팩트가 너무 강함벛꽃엔딩은 단순히 히트곡이 아니라
